자치구,소계,살인,강도,강간,절도,폭력
소계,90399,104,117,5816,37579,46783
종로구,3138,2,8,228,1313,1587
중구,3071,1,5,194,1365,1506
용산구,2967,5,7,280,978,1697
성동구,2194,2,2,125,979,1086
광진구,3619,6,0,230,1670,1713
동대문구,3253,4,2,125,1556,1566
중랑구,3599,2,2,150,1508,1937
성북구,2749,3,1,158,1143,1444
강북구,2832,5,5,177,872,1773
도봉구,2141,3,0,70,969,1099
노원구,3896,3,3,180,1504,2206
은평구,3487,4,5,176,1497,1805
서대문구,2374,5,6,157,1114,1092
마포구,4096,2,2,436,1451,2205
양천구,3169,2,3,114,1474,1576
강서구,4663,3,7,261,1991,2401
구로구,3857,11,8,217,1565,2056
금천구,2577,2,3,127,1118,1327
영등포구,4819,5,10,327,2062,2415
동작구,2735,2,5,212,1195,1321
관악구,4879,10,9,327,1966,2567
서초구,4459,3,3,431,1921,2101
강남구,6947,12,11,667,2495,3762
송파구,5167,2,5,290,2201,2669
강동구,3711,5,5,157,1672,1872
