타임스탬프,당신이 다니는 학교는?,당신이 선호하는 급식 종류는?,당신이 선호하는 급식 스타일은?,당신의 성적은?,당신의 최근 시험 점수 평균는?
2024/05/11 3:51:23 오후 GMT+9,신기중학교,한식,육식,A,30점 이상 40점 미만
2024/05/11 3:52:12 오후 GMT+9,신기중학교,한식,채식,E,0점 이상 10점 미만
2024/05/11 3:53:35 오후 GMT+9,범계중학교,한식,육식,A,90점 이상 100점 미만
2024/05/11 3:55:09 오후 GMT+9,신기중학교,양식,육식,A,90점 이상 100점 미만
2024/05/11 3:58:33 오후 GMT+9,신기중학교,양식,육식,A,100점
2024/05/11 4:09:53 오후 GMT+9,신기중학교,한식,채식,B,90점 이상 100점 미만
2024/05/11 4:10:05 오후 GMT+9,신기중학교,한식,육식,B,80점 이상 90점 미만
2024/05/11 4:10:35 오후 GMT+9,신기중학교,중식,육식,C,80점 이상 90점 미만
2024/05/11 4:11:20 오후 GMT+9,신기중학교,한식,육식,C,70점 이상 80점 미만
2024/05/11 4:11:33 오후 GMT+9,신기중학교,일식,채식,A,100점
2024/05/11 4:12:27 오후 GMT+9,신기중학교,양식,육식,A,90점 이상 100점 미만
2024/05/11 4:12:38 오후 GMT+9,신기중학교,한식,채식,C,70점 이상 80점 미만
2024/05/11 4:13:11 오후 GMT+9,신기중학교,일식,육식,A,50점 이상 60점 미만
2024/05/11 4:14:18 오후 GMT+9,대안여중,중식,육식,C,80점 이상 90점 미만
2024/05/11 4:18:03 오후 GMT+9,신기중 학교,한식,육식,B,80점 이상 90점 미만
2024/05/11 4:18:28 오후 GMT+9,신기중학교,한식,육식,A,100점
2024/05/11 4:18:42 오후 GMT+9,신기중학교,일식,육식,A,100점
2024/05/11 4:19:22 오후 GMT+9,신기중학교 ,중식,육식,A,100점
2024/05/11 4:24:42 오후 GMT+9,신기중학교,중식,채식,C,0점 이상 10점 미만
2024/05/11 4:38:46 오후 GMT+9,신기중학교,한식,육식,A,100점
2024/05/11 5:22:09 오후 GMT+9,신기중학교,양식,육식,A,100점
2024/05/11 5:26:51 오후 GMT+9,신기중학교,중식,육식,B,80점 이상 90점 미만
2024/05/11 5:29:04 오후 GMT+9,신기중학교,한식,육식,A,70점 이상 80점 미만
2024/05/11 5:29:14 오후 GMT+9,신기중학교,한식,육식,B,80점 이상 90점 미만
2024/05/11 5:29:18 오후 GMT+9,안양부흥중학교,양식,육식,A,90점 이상 100점 미만
2024/05/11 5:29:37 오후 GMT+9,신기중학교,중식,육식,A,90점 이상 100점 미만
2024/05/11 6:05:04 오후 GMT+9,신기중학교,중식,육식,C,60점 이상 70점 미만
2024/05/11 6:25:44 오후 GMT+9,신기중학교,한식,육식,B,80점 이상 90점 미만
2024/05/11 6:27:00 오후 GMT+9,신기중학교 ,중식,육식,A,100점
2024/05/11 6:40:00 오후 GMT+9,신기중학교,한식,육식,A,90점 이상 100점 미만
2024/05/11 7:18:22 오후 GMT+9,신기중학교,중식,육식,A,90점 이상 100점 미만
2024/05/11 11:45:58 오후 GMT+9,신기중학교,한식,육식,A,90점 이상 100점 미만
2024/05/12 1:25:30 오전 GMT+9,안양신기중,일식,육식,A,100점
2024/05/12 9:46:47 오전 GMT+9,덕장중학교,일식,육식,A,100점
2024/05/12 9:54:40 오전 GMT+9,신기중학교,양식,육식,B,90점 이상 100점 미만
